id,title,category,sub_category,color,gender,usage
15970,turtle check men navy blue shirt,apparel,topwear,navy blue,men,casual
39386,peter england men party blue jeans,apparel,bottomwear,blue,men,casual
59263,titan women silver watch,accessories,watches,silver,women,casual
21379,manchester united men solid black track pants,apparel,bottomwear,black,men,casual
53759,puma men grey tshirt,apparel,topwear,grey,men,casual
1855,inkfruit mens chain reaction tshirt,apparel,topwear,grey,men,casual
30805,fabindia men striped green shirt,apparel,topwear,green,men,ethnic
26960,jealous 21 women purple shirt,apparel,topwear,purple,women,casual
29114,puma men pack of 3 socks,accessories,socks,navy blue,men,casual
30039,skagen men black watch,accessories,watches,black,men,casual
9204,puma men future cat remix sf black casual shoes,footwear,shoes,black,men,casual
48123,fossil women black huarache weave belt,accessories,belts,black,women,casual
18653,fila men cush flex black slippers,footwear,flip flops,black,men,casual
47957,murcia women blue handbag,accessories,bags,blue,women,casual
46885,ben 10 boys navy blue slippers,footwear,flip flops,navy blue,boys,casual
12369,reid  taylor men check purple shirts,apparel,topwear,purple,men,formal
29928,police men black dial watch pl12889jvsb,accessories,watches,black,men,casual
42419,gini and jony girls knit white top,apparel,topwear,white,girls,casual
51832,bwitch beige fullcoverage bra bw335,apparel,innerwear,beige,women,casual
47359,baggit women brown handbag,accessories,bags,brown,women,casual
17429,casio gshock men black digital watch g77101dr g223,accessories,watches,black,men,casual
12967,adidas men spry m black sandals,footwear,sandal,black,men,casual
6842,timberland unisex rubber sole brush shoe accessories,accessories,shoe accessories,black,unisex,casual
13089,adidas men lfc auth hood grey sweatshirts,apparel,topwear,grey,men,sports
18461,david beckham signature men deos,personal care,fragrance,white,men,casual
9036,buckaroo men flores black formal shoes,footwear,shoes,black,men,formal
48311,pitaraa women bronze beaded bracelet,accessories,jewellery,bronze,women,casual
7990,fila mens round neck navy blue tshirt,apparel,topwear,navy blue,men,sports
56019,colorbar soft touch show stopper copper lipstick 037,personal care,lips,brown,women,casual
21977,murcia women casual brown handbag,accessories,bags,brown,women,casual
37812,john players men navy blue shirt,apparel,topwear,navy blue,men,formal
4729,disney kids boys crew sea life sialing green teen kidswear,apparel,topwear,green,boys,casual
56825,john players men brown shirt,apparel,topwear,brown,men,casual
39988,gas men europa white shoes,footwear,shoes,white,men,casual
59051,carlton london women black  gold toned flats,footwear,shoes,black,women,casual
20099,diva women embroided green kurta,apparel,topwear,green,women,ethnic
58183,rocky s women white handbag,accessories,bags,white,women,casual
29742,kiara women teal handbag,accessories,bags,teal,women,casual
51658,fossil women copper chronograph watch ch2589,accessories,watches,copper,women,casual
3954,jealous 21 womens pink tshirt,apparel,topwear,pink,women,casual
18839,peter england men formal black belt,accessories,belts,black,men,formal
2886,catwalk women leather brown flats,footwear,shoes,brown,women,casual
23278,maxima ssteele men off white watch,accessories,watches,off white,men,casual
28690,w women printed beige kurta,apparel,topwear,beige,women,ethnic
8580,scullers men  grey waistcoat,apparel,topwear,grey,men,casual
3168,nike mens incinerate msl white blue shoe,footwear,shoes,white,men,sports
18005,puma men long logo black bermuda,apparel,bottomwear,black,men,sports
17871,levis men boxer maroon brief,apparel,innerwear,maroon,men,casual
9452,john miller men stripes white red shirts,apparel,topwear,red,men,formal
38402,baggit women hood dabang black belt,accessories,belts,black,women,casual
44984,maxima women white dial watch,accessories,watches,white,women,casual
10268,clarks men hang work leather black formal shoes,footwear,shoes,black,men,formal
45856,vishudh women brown kurta,apparel,topwear,brown,women,ethnic
32138,playboy men blue titanium briefs,apparel,innerwear,blue,men,casual
59435,arrow men black formal shoes,footwear,shoes,black,men,formal
5891,puma mens stripe polo black tshirt,apparel,topwear,black,men,casual
38630,nike women purple polo tshirt,apparel,topwear,purple,women,casual
4943,gini and jony boys kaleb white brown kidswear,apparel,topwear,white,men,casual
11188,carrera men dial steel finish strap silver watches,accessories,watches,silver,men,casual
10866,wrangler men motor rider red tshirts,apparel,topwear,red,men,casual
59607,fnf pink  grey wedding collection sari,apparel,saree,grey,women,ethnic
15528,puma men scribble black tshirts,apparel,topwear,black,men,casual
45258,casio edifice men black dial chronograph watch ed60,accessories,watches,black,men,casual
42841,french connection women beige handbag,accessories,bags,beige,women,casual
22198,timberland men black casual shoes,footwear,shoes,black,men,casual
29570,vans men classic slipon purple  black shoes,footwear,shoes,purple,men,casual
43993,police women passion perfume,personal care,fragrance,pink,women,casual
6628,adidas mens lowell white silver shoe,footwear,shoes,white,men,sports
54924,do u speak green men blue shorts,apparel,bottomwear,blue,men,casual
26538,id men red shoes,footwear,shoes,red,men,casual
35913,peperone women black  white handbag,accessories,bags,black,women,casual
49495,vans men khaki shoes,footwear,shoes,khaki,men,casual
9660,indigo nation men reversible bling pink shirts,apparel,topwear,pink,men,casual
